parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,regime,preset,eta,type_A,type_B,type_C,type_E,type_D_plus,type_D_minus,norm_ratio_min,norm_ratio_med,norm_ratio_max,nnz_p,nnz_q,layers_analysed,merging_fn,population,core,time_s
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.2146,0.361,0.38866666666666666,0.3333333333333333,"[0.164, null, null, 0.0, null, null, 0.0, 1.0, 0.002, null]",average@0.80,average,0.8,0.0013747805860351299,0.007808171763527707,0.06149021091312725,0.31098274806904963,0.558923195516071,0.05942089315218945,0.5658247563417812,0.6424440072197096,0.6751524155323781,14669,13218,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.7
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.2146,0.361,0.38866666666666666,0.3333333333333333,"[0.164, null, null, 0.0, null, null, 0.0, 1.0, 0.002, null]",orthogonal-full@0.80,orthogonal-full,0.8,0.0013747805860351299,0.007808171763527707,0.06149021091312725,0.31098274806904963,0.558923195516071,0.05942089315218945,0.5658247563417812,0.6424440072197096,0.6794800084548253,14669,13218,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,17.0
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.19666666666666666,0.5145,0.6003333333333334,0.42866666666666664,"[0.349, null, null, 0.515, null, 0.0, 0.771, 0.838, 0.614, null]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.834081220706542,0.1659187792934581,0.679030996567809,0.7461686264273362,0.7694691122401643,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,17.2
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.17633333333333334,0.4993333333333333,0.5766666666666667,0.422,"[0.316, null, null, 0.514, null, 0.0, 0.752, 0.861, 0.553, null]",average@0.80,average,0.8,0.0011267927926778486,0.005013554224367681,0.06614995819887054,0.2985417018765889,0.5859593529009596,0.043208640006535556,0.5975668996321711,0.6704876442596054,0.697177786902212,13111,12314,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,17.4
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.17616666666666667,0.5,0.5776666666666667,0.42233333333333334,"[0.317, null, null, 0.514, null, 0.0, 0.753, 0.861, 0.555, null]",orthogonal-full@0.80,orthogonal-full,0.8,0.0011267927926778486,0.005013554224367681,0.06614995819887054,0.2985417018765889,0.5859593529009596,0.043208640006535556,0.5975668996321711,0.6711864857163653,0.697177786902212,13111,12314,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.9
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.2016,0.35950000000000004,0.38533333333333336,0.33366666666666667,"[0.138, null, null, 0.001, null, null, 0.0, 1.0, 0.018, null]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.8100075440757513,0.1899924559242489,0.6334467849515591,0.738378047840244,0.7684817460579341,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.3
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.2008,0.353,0.372,0.334,"[0.115, null, null, 0.002, null, null, 0.0, 1.0, 0.001, null]",average@0.80,average,0.8,0.00017798275426974343,0.005808416316843968,0.03287478450818556,0.33161182011077783,0.5599398224143983,0.06958717389552474,0.5759195881857492,0.6639427250695075,0.692442895829059,21407,13819,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.5
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.2006,0.35283333333333333,0.37166666666666665,0.334,"[0.114, null, null, 0.002, null, null, 0.0, 1.0, 0.001, null]",orthogonal-full@0.80,orthogonal-full,0.8,0.00017798275426974343,0.005808416316843968,0.03287478450818556,0.33161182011077783,0.5599398224143983,0.06958717389552474,0.5764146871590985,0.664220245685743,0.692442895829059,21407,13819,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.4
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.2088,0.37266666666666665,0.412,0.3333333333333333,"[0.219, 0.0, null, null, null, null, 0.0, 1.0, 0.017, null]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.8171116708593444,0.1828883291406556,0.7035367288913554,0.753957950894082,0.8267477261981969,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.4
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.2072,0.36283333333333334,0.3923333333333333,0.3333333333333333,"[0.174, 0.0, null, null, null, null, 0.0, 1.0, 0.003, null]",average@0.80,average,0.8,0.0014717358183086986,0.0089026104850739,0.053789838535610666,0.3425244020628662,0.5348205794868208,0.05849083361131954,0.6257246197768066,0.6748398101076781,0.7535472103525132,16003,11994,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.7
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.2072,0.3626666666666667,0.392,0.3333333333333333,"[0.173, 0.0, null, null, null, null, 0.0, 1.0, 0.003, null]",orthogonal-full@0.80,orthogonal-full,0.8,0.0014717358183086986,0.0089026104850739,0.053789838535610666,0.3425244020628662,0.5348205794868208,0.05849083361131954,0.6314978190819469,0.6748398101076781,0.7535472103525132,16003,11994,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.8
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.202,0.36383333333333334,0.3903333333333333,0.3373333333333333,"[0.129, null, null, null, 0.012, 0.0, null, 1.0, 0.042, null]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.7987966992724512,0.2012033007275487,0.6941293226100309,0.723426946822706,0.7988236585897989,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.4
