parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,pre_joint,pre_per_task,pre_per_class,post_joint,post_per_task,post_task_a,post_task_b,post_per_class,regime,time_s
366f9057,be2e50e9,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5723333358764648,0.5016667246818542,0.219,0.5051666666666667,"[null, null, null, 1.0, null, 0.421, 0.0, 0.0, null, 0.61]",0.1802,0.7805,0.7803333333333333,0.7806666666666666,"[null, null, null, 0.741, null, 0.656, 0.855, 0.746, null, 0.944]",copy-a+mut2,74.4
366f9057,cb3a86af,3_5_9,1_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5723333358764648,0.5966666340827942,0.225,0.4706666666666667,"[null, 0.132, null, 0.685, null, 0.421, 0.974, 0.002, null, 0.61]",0.2565,0.8316666666666667,0.7353333333333333,0.928,"[null, 0.949, null, 0.558, null, 0.718, 0.951, 0.884, null, 0.93]",copy-a+mut2,74.2
366f9057,d8bd0bc0,3_5_9,4_5_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5723333358764648,0.4826667010784149,0.2166,0.5495,"[null, null, null, 0.687, 0.0, 1.0, null, 0.0, null, 0.61]",0.2612,0.745,0.7756666666666666,0.7143333333333334,"[null, null, null, 0.57, 0.659, 0.829, null, 0.655, null, 0.928]",copy-a+mut2,74.6
366f9057,e1762771,3_5_9,1_2_4,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5723333358764648,0.5213333964347839,0.25583333333333336,0.4663333333333333,"[null, 0.19, 0.17, 0.688, 0.719, 0.421, null, null, null, 0.61]",0.21783333333333332,0.7695000000000001,0.7446666666666667,0.7943333333333333,"[null, 0.954, 0.702, 0.589, 0.727, 0.713, null, null, null, 0.932]",copy-a+mut2,74.1
5ffed8da,88ed44d1,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.7800000309944153,0.42500004172325134,0.2574,0.5731666666666667,"[null, null, null, 0.015, null, null, 0.995, 0.007, 0.748, 0.679]",0.1894,0.8323333333333334,0.8726666666666667,0.792,"[null, null, null, 0.694, null, null, 0.866, 0.816, 0.904, 0.848]",copy-a+mut2,74.3
5ffed8da,905afff7,6_8_9,3_5_6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.7800000309944153,0.36399999260902405,0.2442,0.5725,"[null, null, null, 0.015, null, 0.001, 0.995, null, 0.75, 0.679]",0.2182,0.7526666666666666,0.8583333333333333,0.647,"[null, null, null, 0.4, null, 0.734, 0.807, null, 0.913, 0.855]",copy-a+mut2,73.4
5ffed8da,be2e50e9,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.7800000309944153,0.5016667246818542,0.2574,0.5733333333333334,"[null, null, null, 0.015, null, null, 0.995, 0.007, 0.749, 0.679]",0.1782,0.8081666666666667,0.8373333333333334,0.779,"[null, null, null, 0.771, null, null, 0.786, 0.78, 0.897, 0.829]",copy-a+mut2,73.7
5ffed8da,cb3a86af,6_8_9,1_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.7800000309944153,0.5966666340827942,0.2424,0.5776666666666667,"[null, 0.038, null, null, null, null, 0.995, 0.009, 0.75, 0.679]",0.318,0.915,0.9043333333333333,0.9256666666666666,"[null, 0.942, null, null, null, null, 0.956, 0.879, 0.91, 0.847]",copy-a+mut2,73.6
5ffed8da,d8bd0bc0,6_8_9,4_5_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.7800000309944153,0.4826667010784149,0.3915,0.5681666666666667,"[null, null, null, null, 0.04, 0.553, 0.911, 0.475, 0.751, 0.679]",0.2325,0.8228333333333333,0.9156666666666666,0.73,"[null, null, null, null, 0.665, 0.815, 0.971, 0.71, 0.894, 0.882]",copy-a+mut2,74.3
5ffed8da,e1762771,6_8_9,1_2_4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7800000309944153,0.5213333964347839,0.397,0.501,"[null, 0.104, 0.526, null, 0.035, null, 0.912, null, 0.75, 0.679]",0.3005,0.865,0.9116666666666666,0.8183333333333334,"[null, 0.953, 0.771, null, 0.731, null, 0.982, null, 0.891, 0.862]",copy-a+mut2,74.9
