parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,saved_joint,saved_per_task,merging_fn,population,bn_reset,stop_node,time_s
366f9057,be2e50e9,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5723333358764648,0.5016667246818542,0.39,0.4696666666666667,0.43566666666666665,0.5036666666666667,"[null, null, null, 0.249, null, 0.439, 0.912, 0.35, null, 0.619]",0.2388,0.5208333333333334,match_tensors_permute,runs_exp2d/seed0/population,True,21,69.9
366f9057,cb3a86af,3_5_9,1_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5723333358764648,0.5966666340827942,0.30366666666666664,0.5725,0.5793333333333334,0.5656666666666667,"[null, 0.48, null, 0.67, null, 0.435, 0.965, 0.252, null, 0.633]",0.2305,0.4795,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.4
366f9057,d8bd0bc0,3_5_9,4_5_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5723333358764648,0.4826667010784149,0.3952,0.5585,0.6453333333333333,0.4716666666666667,"[null, null, null, 0.703, 0.669, 0.618, null, 0.128, null, 0.615]",0.2272,0.5445,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.0
366f9057,e1762771,3_5_9,1_2_4,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5723333358764648,0.5213333964347839,0.2926666666666667,0.5405,0.5763333333333334,0.5046666666666667,"[null, 0.488, 0.11, 0.67, 0.916, 0.435, null, null, null, 0.624]",0.25116666666666665,0.4731666666666667,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.5
5ffed8da,88ed44d1,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.7800000309944153,0.42500004172325134,0.4516,0.6065,0.7896666666666666,0.42333333333333334,"[null, null, null, 0.175, null, null, 0.963, 0.132, 0.739, 0.667]",0.2766,0.5760000000000001,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.0
5ffed8da,905afff7,6_8_9,3_5_6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.7800000309944153,0.36399999260902405,0.448,0.5818333333333333,0.7966666666666666,0.367,"[null, null, null, 0.107, null, 0.015, 0.979, null, 0.741, 0.67]",0.2724,0.5750000000000001,match_tensors_permute,runs_exp2d/seed0/population,True,21,69.9
5ffed8da,be2e50e9,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.7800000309944153,0.5016667246818542,0.4518,0.6408333333333334,0.7713333333333333,0.5103333333333333,"[null, null, null, 0.251, null, null, 0.911, 0.369, 0.737, 0.666]",0.2708,0.5751666666666666,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.0
5ffed8da,cb3a86af,6_8_9,1_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.7800000309944153,0.5966666340827942,0.4526,0.6890000000000001,0.7903333333333333,0.5876666666666667,"[null, 0.518, null, null, null, null, 0.964, 0.281, 0.739, 0.668]",0.2514,0.5883333333333334,match_tensors_permute,runs_exp2d/seed0/population,True,21,69.9
5ffed8da,d8bd0bc0,6_8_9,4_5_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.7800000309944153,0.4826667010784149,0.4018333333333333,0.6243333333333334,0.777,0.4716666666666667,"[null, null, null, null, 0.672, 0.616, 0.922, 0.127, 0.726, 0.683]",0.38266666666666665,0.5611666666666667,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.5
5ffed8da,e1762771,6_8_9,1_2_4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7800000309944153,0.5213333964347839,0.393,0.6491666666666667,0.7813333333333333,0.517,"[null, 0.516, 0.123, null, 0.912, null, 0.915, null, 0.741, 0.688]",0.38916666666666666,0.5058333333333334,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.6
