parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,bn_reset,time_s
366f9057,cb3a86af,3_5_9,1_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5723333358764648,0.5966666340827942,0.31283333333333335,0.5768333333333333,0.5796666666666667,0.574,"[null, 0.494, null, 0.671, null, 0.44, 0.959, 0.269, null, 0.628]",match_tensors_permute,runs_exp2d/seed0/population,False,44.1
366f9057,d8bd0bc0,3_5_9,4_5_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5723333358764648,0.4826667010784149,0.3906,0.5723333333333334,0.666,0.4786666666666667,"[null, null, null, 0.771, 0.664, 0.621, null, 0.151, null, 0.606]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
366f9057,e1762771,3_5_9,1_2_4,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5723333358764648,0.5213333964347839,0.2981666666666667,0.5386666666666666,0.5733333333333334,0.504,"[null, 0.456, 0.141, 0.699, 0.915, 0.415, null, null, null, 0.606]",match_tensors_permute,runs_exp2d/seed0/population,False,44.0
5ffed8da,88ed44d1,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.7800000309944153,0.42500004172325134,0.4512,0.608,0.786,0.43,"[null, null, null, 0.187, null, null, 0.959, 0.144, 0.749, 0.65]",match_tensors_permute,runs_exp2d/seed0/population,False,43.6
5ffed8da,905afff7,6_8_9,3_5_6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.7800000309944153,0.36399999260902405,0.4504,0.5815,0.7916666666666666,0.37133333333333335,"[null, null, null, 0.121, null, 0.018, 0.975, null, 0.75, 0.65]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
5ffed8da,be2e50e9,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.7800000309944153,0.5016667246818542,0.4518,0.6401666666666667,0.7726666666666666,0.5076666666666667,"[null, null, null, 0.259, null, null, 0.909, 0.355, 0.736, 0.673]",match_tensors_permute,runs_exp2d/seed0/population,False,43.8
5ffed8da,cb3a86af,6_8_9,1_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.7800000309944153,0.5966666340827942,0.451,0.6913333333333334,0.7886666666666666,0.594,"[null, 0.531, null, null, null, null, 0.959, 0.292, 0.743, 0.664]",match_tensors_permute,runs_exp2d/seed0/population,False,43.6
5ffed8da,d8bd0bc0,6_8_9,4_5_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.7800000309944153,0.4826667010784149,0.38666666666666666,0.627,0.7743333333333333,0.4796666666666667,"[null, null, null, null, 0.64, 0.641, 0.939, 0.158, 0.739, 0.645]",match_tensors_permute,runs_exp2d/seed0/population,False,44.0
5ffed8da,e1762771,6_8_9,1_2_4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7800000309944153,0.5213333964347839,0.3863333333333333,0.6501666666666667,0.7793333333333333,0.521,"[null, 0.517, 0.142, null, 0.904, null, 0.922, null, 0.728, 0.688]",match_tensors_permute,runs_exp2d/seed0/population,False,44.0
88ed44d1,905afff7,3_6_7,3_5_6,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.42500004172325134,0.36399999260902405,0.304,0.3875,0.405,0.37,"[null, null, null, 0.109, null, 0.025, 0.976, 0.13, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.4
88ed44d1,be2e50e9,3_6_7,3_6_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.42500004172325134,0.5016667246818542,0.4683333333333333,0.5016666666666667,0.5016666666666667,0.5016666666666667,"[null, null, null, 0.25, null, null, 0.91, 0.345, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.0
