parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,bn_reset,stop_node,time_s
1887bcd2,5ffed8da,2_7_9,6_8_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5853333473205566,0.7800000309944153,0.4634,0.6645000000000001,0.5653333333333334,0.7636666666666667,"[null, null, 0.852, null, null, null, 0.899, 0.174, 0.722, 0.67]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.0
1887bcd2,88ed44d1,2_7_9,3_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5853333473205566,0.42500004172325134,0.353,0.45616666666666666,0.499,0.41333333333333333,"[null, null, 0.904, 0.2, null, null, 0.955, 0.085, null, 0.508]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.0
1887bcd2,905afff7,2_7_9,3_5_6,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5853333473205566,0.36399999260902405,0.29783333333333334,0.455,0.543,0.367,"[null, null, 0.875, 0.111, null, 0.014, 0.976, 0.278, null, 0.476]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.4
1887bcd2,be2e50e9,2_7_9,3_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5853333473205566,0.5016667246818542,0.3502,0.5475,0.5916666666666667,0.5033333333333333,"[null, null, 0.903, 0.23, null, null, 0.894, 0.386, null, 0.486]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
1887bcd2,cb3a86af,2_7_9,1_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5853333473205566,0.5966666340827942,0.3598,0.5826666666666667,0.5956666666666667,0.5696666666666667,"[null, 0.417, 0.889, null, null, null, 0.951, 0.341, null, 0.557]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.2
1887bcd2,d8bd0bc0,2_7_9,4_5_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5853333473205566,0.4826667010784149,0.323,0.48483333333333334,0.527,0.44266666666666665,"[null, null, 0.913, null, 0.321, 0.865, null, 0.142, null, 0.526]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.0
1887bcd2,e1762771,2_7_9,1_2_4,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5853333473205566,0.5213333964347839,0.3046,0.38183333333333336,0.28733333333333333,0.47633333333333333,"[null, 0.393, 0.113, null, 0.923, null, null, 0.195, null, 0.554]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
366f9057,5ffed8da,3_5_9,6_8_9,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5723333358764648,0.7800000309944153,0.428,0.6703333333333333,0.6086666666666667,0.732,"[null, null, null, 0.822, null, 0.219, 0.82, null, 0.591, 0.785]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
366f9057,88ed44d1,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5723333358764648,0.42500004172325134,0.3776,0.3923333333333333,0.309,0.4756666666666667,"[null, null, null, 0.204, null, 0.182, 0.933, 0.29, null, 0.541]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.0
366f9057,905afff7,3_5_9,3_5_6,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5723333358764648,0.36399999260902405,0.4325,0.33233333333333337,0.26666666666666666,0.398,"[null, null, null, 0.246, null, 0.009, 0.939, null, null, 0.545]",match_tensors_permute,runs_exp2d/seed0/population,True,63,54.8
