parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,time_s
1887bcd2,5ffed8da,2_7_9,6_8_9,"[0.0, 0.0, 0.8770000338554382, 0.0, 0.0, 0.0, 0.0, 0.971000075340271, 0.0, 0.9940000176429749]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9480000734329224, 0.0, 0.9830000400543213, 0.9320000410079956]",0.9473333358764648,0.9543333649635315,0.6712,0.8313333333333334,0.8293333333333334,0.8333333333333334,"[null, null, 0.738, null, null, null, 0.756, 0.906, 0.9, 0.844]",match_tensors_permute,68.0
1887bcd2,88ed44d1,2_7_9,3_6_7,"[0.0, 0.0, 0.8770000338554382, 0.0, 0.0, 0.0, 0.0, 0.971000075340271, 0.0, 0.9940000176429749]","[0.0, 0.0, 0.0, 0.7760000228881836, 0.0, 0.0, 0.9600000381469727, 0.9510000348091125, 0.0, 0.0]",0.9473333358764648,0.8956666588783264,0.5924,0.819,0.8486666666666667,0.7893333333333333,"[null, null, 0.707, 0.614, null, null, 0.839, 0.915, null, 0.924]",match_tensors_permute,68.2
1887bcd2,905afff7,2_7_9,3_5_6,"[0.0, 0.0, 0.8770000338554382, 0.0, 0.0, 0.0, 0.0, 0.971000075340271, 0.0, 0.9940000176429749]","[0.0, 0.0, 0.0, 0.812000036239624, 0.0, 0.843000054359436, 0.9480000734329224, 0.0, 0.0, 0.0]",0.9473333358764648,0.8676667213439941,0.5303333333333333,0.7988333333333333,0.8556666666666667,0.742,"[null, null, 0.686, 0.59, null, 0.762, 0.874, 0.919, null, 0.962]",match_tensors_permute,68.1
1887bcd2,be2e50e9,2_7_9,3_6_7,"[0.0, 0.0, 0.8770000338554382, 0.0, 0.0, 0.0, 0.0, 0.971000075340271, 0.0, 0.9940000176429749]","[0.0, 0.0, 0.0, 0.8470000624656677, 0.0, 0.0, 0.9450000524520874, 0.9480000734329224, 0.0, 0.0]",0.9473333358764648,0.9133334159851074,0.632,0.8248333333333333,0.85,0.7996666666666666,"[null, null, 0.651, 0.584, null, null, 0.876, 0.939, null, 0.96]",match_tensors_permute,67.7
1887bcd2,cb3a86af,2_7_9,1_6_7,"[0.0, 0.0, 0.8770000338554382, 0.0, 0.0, 0.0, 0.0, 0.971000075340271, 0.0, 0.9940000176429749]","[0.0, 0.9780000448226929, 0.0, 0.0, 0.0, 0.0, 0.9670000672340393, 0.9530000686645508, 0.0, 0.0]",0.9473333358764648,0.9660000801086426,0.5682,0.8396666666666667,0.8223333333333334,0.857,"[null, 0.936, 0.69, null, null, null, 0.813, 0.822, null, 0.955]",match_tensors_permute,67.7
1887bcd2,d8bd0bc0,2_7_9,4_5_7,"[0.0, 0.0, 0.8770000338554382, 0.0, 0.0, 0.0, 0.0, 0.971000075340271, 0.0, 0.9940000176429749]","[0.0, 0.0, 0.0, 0.0, 0.89000004529953, 0.9160000681877136, 0.0, 0.9540000557899475, 0.0, 0.0]",0.9473333358764648,0.9200000762939453,0.6202,0.8273333333333333,0.8386666666666667,0.816,"[null, null, 0.676, null, 0.779, 0.781, null, 0.888, null, 0.952]",match_tensors_permute,67.8
1887bcd2,e1762771,2_7_9,1_2_4,"[0.0, 0.0, 0.8770000338554382, 0.0, 0.0, 0.0, 0.0, 0.971000075340271, 0.0, 0.9940000176429749]","[0.0, 0.9920000433921814, 0.8520000576972961, 0.0, 0.9460000395774841, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9473333358764648,0.9300000667572021,0.5506,0.7905,0.813,0.768,"[null, 0.892, 0.646, null, 0.766, null, null, 0.848, null, 0.945]",match_tensors_permute,67.6
366f9057,5ffed8da,3_5_9,6_8_9,"[0.0, 0.0, 0.0, 0.7820000648498535, 0.0, 0.9100000262260437, 0.0, 0.0, 0.0, 0.987000048160553]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9480000734329224, 0.0, 0.9830000400543213, 0.9320000410079956]",0.893000066280365,0.9543333649635315,0.4904,0.728,0.7083333333333334,0.7476666666666667,"[null, null, null, 0.6, null, 0.671, 0.669, null, 0.72, 0.854]",match_tensors_permute,68.1
366f9057,88ed44d1,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.7820000648498535, 0.0, 0.9100000262260437, 0.0, 0.0, 0.0, 0.987000048160553]","[0.0, 0.0, 0.0, 0.7760000228881836, 0.0, 0.0, 0.9600000381469727, 0.9510000348091125, 0.0, 0.0]",0.893000066280365,0.8956666588783264,0.5258,0.7318333333333333,0.7236666666666667,0.74,"[null, null, null, 0.545, null, 0.722, 0.787, 0.888, null, 0.904]",match_tensors_permute,67.7
366f9057,905afff7,3_5_9,3_5_6,"[0.0, 0.0, 0.0, 0.7820000648498535, 0.0, 0.9100000262260437, 0.0, 0.0, 0.0, 0.987000048160553]","[0.0, 0.0, 0.0, 0.812000036239624, 0.0, 0.843000054359436, 0.9480000734329224, 0.0, 0.0, 0.0]",0.893000066280365,0.8676667213439941,0.63925,0.7421666666666666,0.7646666666666667,0.7196666666666667,"[null, null, null, 0.645, null, 0.732, 0.782, null, null, 0.917]",match_tensors_permute,67.6
366f9057,be2e50e9,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.7820000648498535, 0.0, 0.9100000262260437, 0.0, 0.0, 0.0, 0.987000048160553]","[0.0, 0.0, 0.0, 0.8470000624656677, 0.0, 0.0, 0.9450000524520874, 0.9480000734329224, 0.0, 0.0]",0.893000066280365,0.9133334159851074,0.557,0.7373333333333334,0.7793333333333333,0.6953333333333334,"[null, null, null, 0.642, null, 0.767, 0.549, 0.895, null, 0.929]",match_tensors_permute,67.6
366f9057,cb3a86af,3_5_9,1_6_7,"[0.0, 0.0, 0.0, 0.7820000648498535, 0.0, 0.9100000262260437, 0.0, 0.0, 0.0, 0.987000048160553]","[0.0, 0.9780000448226929, 0.0, 0.0, 0.0, 0.0, 0.9670000672340393, 0.9530000686645508, 0.0, 0.0]",0.893000066280365,0.9660000801086426,0.4871666666666667,0.8325,0.788,0.877,"[null, 0.968, null, 0.636, null, 0.801, 0.818, 0.845, null, 0.927]",match_tensors_permute,68.0
366f9057,d8bd0bc0,3_5_9,4_5_7,"[0.0, 0.0, 0.0, 0.7820000648498535, 0.0, 0.9100000262260437, 0.0, 0.0, 0.0, 0.987000048160553]","[0.0, 0.0, 0.0, 0.0, 0.89000004529953, 0.9160000681877136, 0.0, 0.9540000557899475, 0.0, 0.0]",0.893000066280365,0.9200000762939453,0.5754,0.7728333333333333,0.773,0.7726666666666666,"[null, null, null, 0.589, 0.665, 0.809, null, 0.844, null, 0.921]",match_tensors_permute,67.6
366f9057,e1762771,3_5_9,1_2_4,"[0.0, 0.0, 0.0, 0.7820000648498535, 0.0, 0.9100000262260437, 0.0, 0.0, 0.0, 0.987000048160553]","[0.0, 0.9920000433921814, 0.8520000576972961, 0.0, 0.9460000395774841, 0.0, 0.0, 0.0, 0.0, 0.0]",0.893000066280365,0.9300000667572021,0.4575,0.754,0.767,0.741,"[null, 0.915, 0.572, 0.603, 0.736, 0.768, null, null, null, 0.93]",match_tensors_permute,67.9
5ffed8da,88ed44d1,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9480000734329224, 0.0, 0.9830000400543213, 0.9320000410079956]","[0.0, 0.0, 0.0, 0.7760000228881836, 0.0, 0.0, 0.9600000381469727, 0.9510000348091125, 0.0, 0.0]",0.9543333649635315,0.8956666588783264,0.5564,0.7981666666666667,0.843,0.7533333333333333,"[null, null, null, 0.53, null, null, 0.888, 0.842, 0.843, 0.798]",match_tensors_permute,68.1
5ffed8da,905afff7,6_8_9,3_5_6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9480000734329224, 0.0, 0.9830000400543213, 0.9320000410079956]","[0.0, 0.0, 0.0, 0.812000036239624, 0.0, 0.843000054359436, 0.9480000734329224, 0.0, 0.0, 0.0]",0.9543333649635315,0.8676667213439941,0.553,0.7375,0.8413333333333334,0.6336666666666667,"[null, null, null, 0.487, null, 0.63, 0.784, null, 0.896, 0.844]",match_tensors_permute,67.9
