steps,shared,B_digits,A_on_A,B_on_B,A_on_union,B_on_union,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus,recipe,union_head_avg,Aside_head_avg,Bside_head_avg,union_head_label,Aside_head_label,Bside_head_label
800,2,123,0.994915783405304,0.9943342804908752,0.753187358379364,0.759922981262207,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956,sym_A1,0.5434207320213318,0.6917699575424194,0.7050676345825195,0.9824392199516296,0.9923737049102783,0.9795404076576233
800,2,123,0.994915783405304,0.9943342804908752,0.753187358379364,0.759922981262207,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956,sym_single1,0.6240077018737793,0.708929181098938,0.794145405292511,0.979312002658844,0.9891960620880127,0.9804847240447998
800,2,123,0.994915783405304,0.9943342804908752,0.753187358379364,0.759922981262207,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956,sym_single1_Dp7,0.6001924276351929,0.6990785002708435,0.7721120715141296,0.9761847257614136,0.9911026358604431,0.9735599756240845
800,2,123,0.994915783405304,0.9943342804908752,0.753187358379364,0.759922981262207,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956,sym_Dp0,0.5135915279388428,0.6682555079460144,0.6720176339149475,0.8258359432220459,0.7855100035667419,0.9631727933883667
800,3,012,0.994915783405304,0.9936447739601135,0.994915783405304,0.9936447739601135,0.001959433355156544,0.005701387893034336,0.02742752382225264,0.33072329974745607,0.4533308307863044,0.180857524395796,avg,0.994915783405304,0.994915783405304,0.994915783405304,0.994915783405304,0.994915783405304,0.994915783405304
800,3,012,0.994915783405304,0.9936447739601135,0.994915783405304,0.9936447739601135,0.001959433355156544,0.005701387893034336,0.02742752382225264,0.33072329974745607,0.4533308307863044,0.180857524395796,sum,0.9923737049102783,0.9923737049102783,0.9923737049102783,0.9923737049102783,0.9923737049102783,0.9923737049102783
800,3,012,0.994915783405304,0.9936447739601135,0.994915783405304,0.9936447739601135,0.001959433355156544,0.005701387893034336,0.02742752382225264,0.33072329974745607,0.4533308307863044,0.180857524395796,sym_A1,0.994915783405304,0.994915783405304,0.994915783405304,0.994915783405304,0.994915783405304,0.994915783405304
800,3,012,0.994915783405304,0.9936447739601135,0.994915783405304,0.9936447739601135,0.001959433355156544,0.005701387893034336,0.02742752382225264,0.33072329974745607,0.4533308307863044,0.180857524395796,sym_single1,0.994915783405304,0.994915783405304,0.994915783405304,0.994915783405304,0.994915783405304,0.994915783405304
800,3,012,0.994915783405304,0.9936447739601135,0.994915783405304,0.9936447739601135,0.001959433355156544,0.005701387893034336,0.02742752382225264,0.33072329974745607,0.4533308307863044,0.180857524395796,sym_single1_Dp7,0.9945980310440063,0.9945980310440063,0.9945980310440063,0.9945980310440063,0.9945980310440063,0.9945980310440063
800,3,012,0.994915783405304,0.9936447739601135,0.994915783405304,0.9936447739601135,0.001959433355156544,0.005701387893034336,0.02742752382225264,0.33072329974745607,0.4533308307863044,0.180857524395796,sym_Dp0,0.6695265173912048,0.6695265173912048,0.6695265173912048,0.6695265173912048,0.6695265173912048,0.6695265173912048
