parent_a,parent_b,layer,norm_ratio,w,A,B,C,E,D_plus,D_minus
09111d7d,905afff7,layer2.2.conv2.weight,0.7635442450460257,0.0068358322176964295,0.004056165781482111,0.01953173559652664,0.019627555018136334,0.36608323959787425,0.5483006293028412,0.0424006747031394
09111d7d,905afff7,layer3.0.conv1.weight,0.7535902827834964,0.011146162596438497,0.0014943147890068653,0.008290796374437647,0.05376732106377162,0.38564258397277673,0.5382290534046926,0.012575930395314523
09111d7d,905afff7,layer3.0.conv2.weight,0.7587926811000256,0.034200765521482324,0.012489487012295474,0.05489618363155241,0.03442760139195717,0.23918745974081482,0.6334338556076208,0.02556541261575936
09111d7d,905afff7,layer3.0.shortcut.0.weight,0.7445112800941646,0.021033331196040037,0.010961245409171887,0.004171860551045558,0.09150892834443841,0.1810466445709946,0.7039852234777924,0.008326097646557317
09111d7d,905afff7,layer3.1.conv1.weight,0.7694691122401638,0.02833356747519572,0.0,0.007804509881942309,0.09001044597738583,0.2078576993657497,0.693983913867069,0.00034343090785315857
09111d7d,905afff7,layer3.1.conv2.weight,0.7646384337869864,0.05908785949370624,0.034105617697608615,0.0,0.18847814247728306,0.0,0.7769181942459116,0.000498045579196756
09111d7d,905afff7,layer3.2.conv1.weight,0.7634229387820545,0.03910096578198509,0.03137903638218096,0.0,0.06478394905777904,0.03854259026864426,0.8447360142923621,0.02055840999903377
09111d7d,905afff7,layer3.2.conv2.weight,0.7461686264273019,0.07197890086312464,0.22163574266169342,0.0,0.0,0.0,0.7767983564541016,0.001565900884205062
09111d7d,be2e50e9,conv1.weight,0.6334467849515591,0.0009181025192759819,0.0,0.0,0.0,0.0,0.9504953341394543,0.049504665860545694
09111d7d,be2e50e9,layer1.0.conv1.weight,0.6957761374683312,0.0029819613798208132,0.022117090326446067,0.03734294964161438,0.15737377101234779,0.4214531011805463,0.259822183402764,0.10189090443628143
09111d7d,be2e50e9,layer1.0.conv2.weight,0.7093795878321345,0.0027126114766962816,0.005581639408041275,0.02905618017973351,0.06793770307886474,0.46847583005500826,0.3898274685390486,0.03912117873930354
09111d7d,be2e50e9,layer1.1.conv1.weight,0.7196997165443253,0.0023001367073028772,0.012870745860789628,0.030250569492126837,0.08077103658322685,0.4004179472577369,0.428825402892699,0.046864297913420686
09111d7d,be2e50e9,layer1.1.conv2.weight,0.7529264646808534,0.0024011485723148007,0.012695953439535983,0.03509490008210493,0.07524151369120503,0.28903299225476703,0.41439341883265973,0.17354122169972724
09111d7d,be2e50e9,layer1.2.conv1.weight,0.7609092310620118,0.00220267800519682,0.025172340293830246,0.026718789689668024,0.06834720351945459,0.2580923177883907,0.5106961649173845,0.1109731837912721
09111d7d,be2e50e9,layer1.2.conv2.weight,0.7559252568787763,0.002041073661763972,0.029991015430720108,0.03257853842276088,0.0879403712021753,0.4854543586897347,0.3150491848966773,0.04898653135793169
09111d7d,be2e50e9,layer2.0.conv1.weight,0.768481746057934,0.0026252308084461166,0.009277641391443145,0.0075392184724634315,0.08527861898151792,0.2614843016415179,0.6046828999790073,0.03173731953405028
09111d7d,be2e50e9,layer2.0.conv2.weight,0.7596206728952127,0.005729395933371255,0.01456768613555335,0.017929584651608016,0.07791165586239114,0.24825367854402797,0.5511183536568134,0.09021904114960609
09111d7d,be2e50e9,layer2.0.shortcut.0.weight,0.7462906504180185,0.0028644836960614694,0.01315043925474675,0.015925251278007993,0.10880013163462826,0.34055369161632915,0.32606408833974926,0.19550639787653856
09111d7d,be2e50e9,layer2.1.conv1.weight,0.7375787322179855,0.0054701891534289435,0.015999712515076134,0.015171006916110494,0.12184277785175093,0.3346220962657983,0.4096163987830705,0.10274800766819367
09111d7d,be2e50e9,layer2.1.conv2.weight,0.7369893436121919,0.005785567535599669,0.017167112770482273,0.015915289256546294,0.09914734985478744,0.2797578945387933,0.44953239033455317,0.1384799632448375
09111d7d,be2e50e9,layer2.2.conv1.weight,0.7304618487133061,0.004635450598488563,0.012648559310552096,0.009373961461779897,0.12880047529408337,0.36515198938957516,0.3891302026316177,0.09489481191239159
09111d7d,be2e50e9,layer2.2.conv2.weight,0.742138979564441,0.0063602496200564455,0.0060511546702819,0.032787441351537785,0.12995476997426209,0.31237331347056774,0.4825000275252164,0.03633329300813399
09111d7d,be2e50e9,layer3.0.conv1.weight,0.7357894517823684,0.010821786162957371,0.011498117764677303,0.01682242425641002,0.0786424543780137,0.47005623023736304,0.3676673246667694,0.055313448696766486
09111d7d,be2e50e9,layer3.0.conv2.weight,0.7335773262965494,0.032903133101639136,0.009076810093788346,0.029760926682981206,0.0856626545006402,0.28179148596787684,0.5574025827893336,0.03630553996537985
09111d7d,be2e50e9,layer3.0.shortcut.0.weight,0.738105196045701,0.018916415941779036,0.010904531060079783,0.009376542872587997,0.11504486989880909,0.3250931586459695,0.478986416576887,0.060594480945666725
09111d7d,be2e50e9,layer3.1.conv1.weight,0.7510152123235424,0.025713625112776285,0.014580313749796722,0.03420437277334232,0.04116191070046897,0.34384952421354,0.5478662872697285,0.01833759129312369
09111d7d,be2e50e9,layer3.1.conv2.weight,0.7469899264802043,0.05135128980586075,0.04393840021510295,0.014476016085808415,0.08374262802872778,0.23719533487479513,0.5718246575223068,0.04882296327325899
09111d7d,be2e50e9,layer3.2.conv1.weight,0.7419429052004317,0.037105573537210904,0.05581847181519,0.03922174534596993,0.0644656544695401,0.32050362140266014,0.5140107621984817,0.00597974476815795
09111d7d,be2e50e9,layer3.2.conv2.weight,0.7383780478401724,0.06367015785474528,0.0,0.0,0.0,0.11900854451664186,0.8675948196935882,0.013396635789769842
09111d7d,cb3a86af,conv1.weight,0.8230974475047756,0.0020236979725911063,0.0,0.0,0.0,0.0,0.9616289686521283,0.038371031347871655
09111d7d,cb3a86af,layer1.0.conv1.weight,0.8025487876695991,0.005089340934457471,0.00929428301438772,0.0412565525438882,0.09594564805162438,0.15809393081274542,0.6859598119110057,0.009449773666348492
09111d7d,cb3a86af,layer1.0.conv2.weight,0.7851415830289987,0.00426523545304087,0.0024548600351325975,0.027869458977310756,0.11206581002910668,0.20726054971567512,0.645744406878335,0.004604914364440002
09111d7d,cb3a86af,layer1.1.conv1.weight,0.8267477261981965,0.003514820233242507,0.0,0.014846707092254961,0.11726673250680067,0.09409532922534743,0.7651792661423188,0.00861196503327815
09111d7d,cb3a86af,layer1.1.conv2.weight,0.7797501009808727,0.0034329123817064392,0.0,0.026453217806775002,0.047092709504880856,0.35097798842743366,0.5501388045514709,0.025337279709439556
09111d7d,cb3a86af,layer1.2.conv1.weight,0.7655417317261728,0.0030188767392929474,0.011180928219501044,0.04422464423198911,0.10817405643352006,0.2737445617115375,0.5612429084840358,0.0014329009194165628
09111d7d,cb3a86af,layer1.2.conv2.weight,0.7647030170894781,0.0026058922094029232,0.006290551608634315,0.0053114715949097524,0.0980356942906822,0.3256860175304341,0.5591194839518108,0.005556781023528906
09111d7d,cb3a86af,layer2.0.conv1.weight,0.7758509468786762,0.0031664342812959467,0.0014266878204778886,0.00581943009799131,0.03388479343995994,0.2954248278424514,0.6574705148188713,0.005973745980248164
09111d7d,cb3a86af,layer2.0.conv2.weight,0.7539579508940812,0.0067184181445402585,0.0030832449691438318,0.0153016764437838,0.09661767389183537,0.3880143943100486,0.4471486543567719,0.04983435602841655
09111d7d,cb3a86af,layer2.0.shortcut.0.weight,0.7660317603623781,0.003384478279151012,0.005010439453032327,0.008277097777004373,0.06959081466313577,0.2728578151871663,0.621752116239958,0.02251171667970341
09111d7d,cb3a86af,layer2.1.conv1.weight,0.7589053721734481,0.006242037801135173,0.007512168854579792,0.014390023142126498,0.053902309828313774,0.24844294599918132,0.6363667544673686,0.039385797708430224
09111d7d,cb3a86af,layer2.1.conv2.weight,0.7481686593698955,0.006670833068669452,0.013623650902622783,0.010900640716662168,0.15855675182026854,0.23421664533672845,0.5422565097660956,0.0404458014576224
09111d7d,cb3a86af,layer2.2.conv1.weight,0.734256443500843,0.00535788391569769,0.0028685738055985056,0.018408845244010166,0.03753133436203458,0.28163869594447705,0.6126651496700782,0.04688740097380153
09111d7d,cb3a86af,layer2.2.conv2.weight,0.7180749144803197,0.007561993330167814,0.0,0.01705865319117031,0.06660724142423462,0.3979554647986109,0.48021053031993427,0.03816811026604997
09111d7d,cb3a86af,layer3.0.conv1.weight,0.7241228861946427,0.012191253603758933,0.014784490212720955,0.020670095947855172,0.07835506498305578,0.4912157071476827,0.3896669122058887,0.005307729502796693
09111d7d,cb3a86af,layer3.0.conv2.weight,0.7086655575565689,0.03859890092671199,0.0,0.03243285961658596,0.08468565219878302,0.30492168165593214,0.5593102384284926,0.018649568100206026
09111d7d,cb3a86af,layer3.0.shortcut.0.weight,0.7169922462543608,0.023137563332100375,0.0,0.007601158593173942,0.0,0.4044092770573947,0.5561149200801943,0.03187464426923713
09111d7d,cb3a86af,layer3.1.conv1.weight,0.7068332849045095,0.032963098099602954,0.0,0.03991091342762343,0.0,0.4053539705875442,0.5110286116415401,0.043706504343292256
09111d7d,cb3a86af,layer3.1.conv2.weight,0.7101639693837943,0.06525114633913134,0.07852019725048684,0.0,0.5857956736157754,0.3356841291337377,0.0,0.0
09111d7d,cb3a86af,layer3.2.conv1.weight,0.7174092809822047,0.04925325168284668,0.0256538029254948,0.1351640902192592,0.19134421030780918,0.38459318455893643,0.2630701529073516,0.00017455908114887898
