seed,core,recipe,gen,pair,n_classes,tauA,tauB,driftA0,driftB0,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus,single_cells,norm_ratio,typed_frac,child_drift0_pre,child,acc_own,acc_all9,child_drift0_post
0,fixed,single-full,4,12,9,13.907164768936749,13.84623183728546,13.907164768936749,13.84623183728546,0.0031943595027159612,0.0003603891071123088,0.0008468301648655697,0.034854350647179955,0.960723518883954,2.0551694172308293e-05,0.039255929421873795,1.0235893791333324,0.7181058595309346,14.234860740307065,1,0.9619619846343994,0.9619619846343994,14.74133923003431
0,fixed,single-full,4,30,9,13.827833888326982,13.871887177353122,13.827833888326982,13.871887177353122,0.002089251487693215,0.0,0.0004269242076787419,0.03857531785796577,0.9589058664291338,2.640017528512931e-06,0.04109149355333773,1.0374485790977015,0.720020246536065,14.25471328160705,0,0.9642976522445679,0.9642976522445679,14.814786999073492
0,fixed,single-full,4,30,9,13.827833888326982,13.871887177353122,13.827833888326982,13.871887177353122,0.002089251487693215,0.0,0.0004269242076787419,0.03857531785796577,0.9589058664291338,2.640017528512931e-06,0.04109149355333773,1.0374485790977015,0.720020246536065,14.25471328160705,1,0.9609609246253967,0.9609609246253967,14.823467425132744
0,fixed,single-full,5,01,9,14.825465167060162,14.74133923003431,14.825465167060162,14.74133923003431,0.0020622154257449276,0.0,0.00044905560349504595,0.011304189454001079,0.9861845395167589,0.0,0.013815460483241053,1.014473151780473,0.7195644904211392,14.99934915813518,0,0.9617394804954529,0.9617394804954529,15.455489295932912
0,fixed,single-full,5,01,9,14.825465167060162,14.74133923003431,14.825465167060162,14.74133923003431,0.0020622154257449276,0.0,0.00044905560349504595,0.011304189454001079,0.9861845395167589,0.0,0.013815460483241053,1.014473151780473,0.7195644904211392,14.99934915813518,1,0.9677455425262451,0.9677455425262451,15.47939962678413
0,fixed,single-full,5,23,9,14.814786999073492,14.823467425132744,14.814786999073492,14.823467425132744,0.0,0.0,0.0,0.009248136929867463,0.990751284414131,5.786560016076672e-07,0.009248136929867463,1.0014070645055224,0.7189110128280651,14.921185074669683,0,0.9661884307861328,0.9661884307861328,15.43073784681104
0,fixed,single-full,5,23,9,14.814786999073492,14.823467425132744,14.814786999073492,14.823467425132744,0.0,0.0,0.0,0.009248136929867463,0.990751284414131,5.786560016076672e-07,0.009248136929867463,1.0014070645055224,0.7189110128280651,14.921185074669683,1,0.9608497023582458,0.9608497023582458,15.381533182877549
0,fixed,single-full,6,12,9,15.47939962678413,15.43073784681104,15.47939962678413,15.43073784681104,0.0,0.0,0.001327531638384341,0.02333087940958893,0.9752934897635768,4.809918844997179e-05,0.024658411047973273,1.0088104459991505,0.717642858934152,15.751049681165581,0,0.965965986251831,0.965965986251831,16.251576736291813
0,fixed,single-full,6,12,9,15.47939962678413,15.43073784681104,15.47939962678413,15.43073784681104,0.0,0.0,0.001327531638384341,0.02333087940958893,0.9752934897635768,4.809918844997179e-05,0.024658411047973273,1.0088104459991505,0.717642858934152,15.751049681165581,1,0.9718607664108276,0.9718607664108276,16.20157476267511
0,fixed,single-full,6,30,9,15.381533182877549,15.455489295932912,15.381533182877549,15.455489295932912,0.002150174120661838,0.0,0.0,0.031000876286728502,0.9668033180054788,4.56315871306785e-05,0.03315105040739034,1.02757092227964,0.7157035672272418,15.903342610528572,0,0.9646313190460205,0.9646313190460205,16.42228677841855
0,fixed,single-full,6,30,9,15.381533182877549,15.455489295932912,15.381533182877549,15.455489295932912,0.002150174120661838,0.0,0.0,0.031000876286728502,0.9668033180054788,4.56315871306785e-05,0.03315105040739034,1.02757092227964,0.7157035672272418,15.903342610528572,1,0.9664108753204346,0.9664108753204346,16.382219258779596
0,fixed,copyA,1,01,5,9.92409508123283,10.887184452778573,9.92409508123283,10.887184452778573,,,,,,,,,,9.92409508123283,0,0.9680871963500977,0.5533310770988464,11.763290690415895
0,fixed,copyA,1,01,5,9.92409508123283,10.887184452778573,9.92409508123283,10.887184452778573,,,,,,,,,,9.92409508123283,1,0.9713952541351318,0.5552218556404114,11.733516204907913
0,fixed,copyA,1,23,5,10.474517964269586,9.97724902370347,10.474517964269586,9.97724902370347,,,,,,,,,,10.474517964269586,0,0.9588332772254944,0.5155155062675476,12.072922525447328
0,fixed,copyA,1,23,5,10.474517964269586,9.97724902370347,10.474517964269586,9.97724902370347,,,,,,,,,,10.474517964269586,1,0.9594538807868958,0.5158491730690002,12.121205193151699
