pair,n_shared,n_union,a_per_task,b_per_task,mean_parent_acc,min_parent_acc,parent_acc_gap,shared_acc_mean,shared_acc_gap,child_per_task,mean_retention,min_retention,retention_shared,retention_disjoint
3_5_9|4_5_7,1,5,0.893000066280365,0.9200000762939452,0.9065000712871552,0.893000066280365,0.02700001001358021,0.9160000681877136,0.006000041961669922,0.7728333333333333,-0.1402000564575195,-0.22500004529953,-0.10700006818771357,-0.148500053524971
3_5_9|1_2_4,0,6,0.893000066280365,0.930000066757202,0.9115000665187836,0.893000066280365,0.03700000047683705,,,0.754,-0.15750004665056863,-0.2800000576972962,,-0.15750004665056863
6_8_9|3_6_7,1,5,0.9543333649635316,0.8956666588783264,0.925000011920929,0.8956666588783264,0.05866670608520519,0.9600000381469727,0.011999964714050293,0.7981666666666667,-0.14020003538131715,-0.24600002288818357,-0.07200003814697264,-0.15725003468990326
6_8_9|3_5_6,1,5,0.9543333649635316,0.8676667213439941,0.9110000431537628,0.8676667213439941,0.08666664361953746,0.9480000734329224,0.0,0.7375,-0.17540004901885986,-0.32500003623962403,-0.16400007343292233,-0.17825004291534424
6_8_9|3_6_7,1,5,0.9543333649635316,0.9133334159851074,0.9338333904743195,0.9133334159851074,0.04099994897842418,0.9480000734329224,0.003000020980834961,0.8083333333333333,-0.1254000580787659,-0.14900006246566777,-0.1290000734329224,-0.12450005424022675
6_8_9|1_6_7,1,5,0.9543333649635316,0.9660000801086426,0.960166722536087,0.9543333649635316,0.011666715145110973,0.9670000672340393,0.018999993801116943,0.835,-0.11420005235671997,-0.1990000672340393,-0.1990000672340393,-0.09300004863739014
6_8_9|4_5_7,0,6,0.9543333649635316,0.9200000762939452,0.9371667206287384,0.9200000762939452,0.034333288669586404,,,0.8421666666666667,-0.09500005396207174,-0.16300004529953005,,-0.09500005396207174
6_8_9|1_2_4,0,6,0.9543333649635316,0.930000066757202,0.9421667158603668,0.930000066757202,0.024333298206329568,,,0.7883333333333333,-0.1538333825270335,-0.29800007343292234,,-0.1538333825270335
3_6_7|3_5_6,2,4,0.8956666588783264,0.8676667213439941,0.8816666901111603,0.8676667213439941,0.027999937534332275,0.8860000371932983,0.02399998903274536,0.7168333333333333,-0.1585000408887863,-0.283000036239624,-0.20150003719329834,-0.11550004458427426
3_6_7|3_6_7,3,3,0.8956666588783264,0.9133334159851074,0.9045000374317169,0.8956666588783264,0.017666757106781006,0.9193333784739176,0.029666662216186523,0.7986666666666666,-0.12066671180725097,-0.16600006246566767,-0.12066671180725097,
3_6_7|1_6_7,2,4,0.8956666588783264,0.9660000801086426,0.9308333694934845,0.8956666588783264,0.07033342123031616,0.960000067949295,0.004500031471252441,0.7275,-0.19400005090236663,-0.3520000672340393,-0.22650006794929506,-0.1615000338554382
3_6_7|4_5_7,1,5,0.8956666588783264,0.9200000762939452,0.9078333675861359,0.8956666588783264,0.024333417415618785,0.9540000557899475,0.003000020980834961,0.7078333333333333,-0.2234000460624695,-0.3240000452995301,-0.08600005578994752,-0.2577500436306
3_6_7|1_2_4,0,6,0.8956666588783264,0.930000066757202,0.9128333628177643,0.8956666588783264,0.03433340787887562,,,0.7493333333333334,-0.16350003941853844,-0.2810000395774841,,-0.16350003941853844
3_5_6|3_6_7,2,4,0.8676667213439941,0.9133334159851074,0.8905000686645508,0.8676667213439941,0.04566669464111328,0.897500067949295,0.01900002360343933,0.7290000000000001,-0.17275006592273712,-0.25100005435943606,-0.158000067949295,-0.18750006389617924
3_5_6|1_6_7,1,5,0.8676667213439941,0.9660000801086426,0.9168334007263184,0.8676667213439941,0.09833335876464844,0.9670000672340393,0.018999993801116943,0.7373333333333334,-0.19140005426406864,-0.34500005435943604,-0.13900006723403935,-0.20450005102157595
3_5_6|4_5_7,1,5,0.8676667213439941,0.9200000762939452,0.8938333988189697,0.8676667213439941,0.05233335494995106,0.9160000681877136,0.07300001382827759,0.7553333333333334,-0.16200005578994753,-0.24800004529953001,-0.09400006818771367,-0.17900005269050598
3_5_6|1_2_4,0,6,0.8676667213439941,0.930000066757202,0.8988333940505981,0.8676667213439941,0.0623333454132079,,,0.6676666666666666,-0.231166717449824,-0.3730000734329224,,-0.231166717449824
3_6_7|1_6_7,2,4,0.9133334159851074,0.9660000801086426,0.939666748046875,0.9133334159851074,0.052666664123535156,0.960000067949295,0.013500005006790161,0.8005,-0.14200006079673766,-0.23000006246566773,-0.14700006794929504,-0.13700005364418028
3_6_7|4_5_7,1,5,0.9133334159851074,0.9200000762939452,0.9166667461395264,0.9133334159851074,0.00666666030883778,0.9540000557899475,0.0059999823570251465,0.7556666666666667,-0.18120005683898927,-0.24200005245208744,-0.0660000557899475,-0.2100000571012497
3_6_7|1_2_4,0,6,0.9133334159851074,0.930000066757202,0.9216667413711548,0.9133334159851074,0.016666650772094616,,,0.764,-0.15766672150293984,-0.23200006246566773,,-0.15766672150293984
