parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,regime,preset,eta,head,type_A,type_B,type_C,type_E,type_D_plus,type_D_minus,norm_ratio_min,norm_ratio_med,norm_ratio_max,typed_frac_mean,layers_analysed,merging_fn,population,core,time_s
4a01dede,75582683,3_4_5_6_7,1_2_4_6_7_8_9,"[0.0, 0.0, 0.0, 0.3110000193119049, 0.47700002789497375, 0.6450000405311584, 0.7280000448226929, 0.6080000400543213, 0.0, 0.0]","[0.0, 0.7880000472068787, 0.4150000214576721, 0.0, 0.5390000343322754, 0.0, 0.6350000500679016, 0.5640000104904175, 0.8060000538825989, 0.5790000557899475]",0.5538000464439392,0.6180000305175781,0.252,0.49247142857142856,0.5258,0.45914285714285713,"[null, 0.559, 0.082, 0.23, 0.829, 0.852, 0.295, 0.423, 0.795, 0.231]",average@0.80@label,average,0.8,label,0.0046721321715033,0.025967606399660576,0.0497171453615205,0.3737511294349381,0.5194140329509399,0.02647795368143747,0.7168002360509581,0.7594194295612944,0.8533835168181079,0.7161491073080933,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.3
4a01dede,84e76a03,3_4_5_6_7,0_2_3_5_6_7_8_9,"[0.0, 0.0, 0.0, 0.3110000193119049, 0.47700002789497375, 0.6450000405311584, 0.7280000448226929, 0.6080000400543213, 0.0, 0.0]","[0.6270000338554382, 0.0, 0.37400001287460327, 0.11600000411272049, 0.0, 0.4780000150203705, 0.6680000424385071, 0.35500001907348633, 0.5670000314712524, 0.5170000195503235]",0.5538000464439392,0.46275004744529724,0.28044444444444444,0.486775,0.5038,0.46975,"[0.723, null, 0.473, 0.376, 0.771, 0.505, 0.548, 0.319, 0.067, 0.747]",average@0.80@label,average,0.8,label,0.009449958199105673,0.03006702858064026,0.04853179015129062,0.36946426695322354,0.5147596840609803,0.02772727205475973,0.724407924129834,0.7560555021682949,0.9534127569874938,0.7161809300086771,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.5
4a01dede,8b82f57e,3_4_5_6_7,3_4_5_6_7,"[0.0, 0.0, 0.0, 0.3110000193119049, 0.47700002789497375, 0.6450000405311584, 0.7280000448226929, 0.6080000400543213, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.3570000231266022, 0.5180000066757202, 0.6070000529289246, 0.7150000333786011, 0.6330000162124634, 0.0, 0.0]",0.5538000464439392,0.5659999847412109,0.2534,0.5414,0.5414,0.5414,"[null, null, null, 0.373, 0.697, 0.679, 0.375, 0.583, null, null]",average@0.80@label,average,0.8,label,0.00010385507067539818,0.003692712606525592,0.0045697844033621825,0.1159936131499785,0.8732292380938687,0.0024107966755897857,0.8231852607201908,0.8545016263497722,0.9239186731134525,0.7167780779912901,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,15.3
4a01dede,ac3d3ea6,3_4_5_6_7,1_2_4_6_7_8_9,"[0.0, 0.0, 0.0, 0.3110000193119049, 0.47700002789497375, 0.6450000405311584, 0.7280000448226929, 0.6080000400543213, 0.0, 0.0]","[0.0, 0.6820000410079956, 0.49000000953674316, 0.0, 0.4710000157356262, 0.0, 0.5920000076293945, 0.6480000019073486, 0.7470000386238098, 0.7150000333786011]",0.5538000464439392,0.6207143068313599,0.2692222222222222,0.48278571428571426,0.535,0.43057142857142855,"[null, 0.459, 0.052, 0.305, 0.804, 0.779, 0.266, 0.521, 0.88, 0.032]",average@0.80@label,average,0.8,label,0.004892534120106127,0.029229767310392004,0.046300120707930326,0.37344064171862457,0.5169514886225229,0.029185447520423794,0.7205076178993637,0.7597935397182587,0.8533835168181078,0.7162378534198793,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.5
4a01dede,c285d620,3_4_5_6_7,1_2_4_6_8_9,"[0.0, 0.0, 0.0, 0.3110000193119049, 0.47700002789497375, 0.6450000405311584, 0.7280000448226929, 0.6080000400543213, 0.0, 0.0]","[0.0, 0.7900000214576721, 0.3970000147819519, 0.0, 0.4610000252723694, 0.0, 0.6960000395774841, 0.0, 0.7150000333786011, 0.6580000519752502]",0.5538000464439392,0.6194999814033508,0.2591111111111111,0.45056666666666667,0.3788,0.5223333333333333,"[null, 0.598, 0.369, 0.882, 0.73, 0.056, 0.119, 0.107, 0.523, 0.795]",average@0.80@label,average,0.8,label,0.0006804006294749914,0.012975316418397642,0.014407002488424452,0.4052169655413492,0.5372681055975715,0.02945220932478202,0.7161483459935749,0.74622018569682,0.9123130292209899,0.7155705856342106,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.4
4a01dede,edf8f2d1,3_4_5_6_7,2_3_6_7_9,"[0.0, 0.0, 0.0, 0.3110000193119049, 0.47700002789497375, 0.6450000405311584, 0.7280000448226929, 0.6080000400543213, 0.0, 0.0]","[0.0, 0.0, 0.3630000054836273, 0.2850000262260437, 0.0, 0.0, 0.7190000414848328, 0.6500000357627869, 0.0, 0.578000009059906]",0.5538000464439392,0.5190000534057617,0.32357142857142857,0.611,0.5964,0.6256,"[null, null, 0.601, 0.653, 0.525, 0.724, 0.484, 0.596, null, 0.794]",average@0.80@label,average,0.8,label,0.005607376208089755,0.029621931235967864,0.055948794344055884,0.355262682011181,0.5231741373438394,0.030385078856866133,0.7262578160631933,0.7612669744656704,0.8636126211345154,0.7150835823599244,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,15.9
4a01dede,f8864bb0,3_4_5_6_7,0_2_3_5_6_7_8_9,"[0.0, 0.0, 0.0, 0.3110000193119049, 0.47700002789497375, 0.6450000405311584, 0.7280000448226929, 0.6080000400543213, 0.0, 0.0]","[0.6230000257492065, 0.0, 0.3270000219345093, 0.1720000058412552, 0.0, 0.3790000081062317, 0.737000048160553, 0.4360000193119049, 0.5430000424385071, 0.5640000104904175]",0.5538000464439392,0.4726250171661377,0.26811111111111113,0.465825,0.4854,0.44625,"[0.559, null, 0.512, 0.475, 0.796, 0.379, 0.47, 0.307, 0.094, 0.774]",average@0.80@label,average,0.8,label,0.00720265894965377,0.023653956455136394,0.03628466127989016,0.384821695070859,0.5217353243883631,0.02630170385609762,0.7188613093045936,0.762341184326655,0.9534127569874938,0.7160495365636934,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.4
5ae07fc0,75582683,0_3_5_7_8_9,1_2_4_6_7_8_9,"[0.5610000491142273, 0.0, 0.0, 0.34800001978874207, 0.0, 0.609000027179718, 0.0, 0.6570000052452087, 0.7850000262260437, 0.7290000319480896]","[0.0, 0.7880000472068787, 0.4150000214576721, 0.0, 0.5390000343322754, 0.0, 0.6350000500679016, 0.5640000104904175, 0.8060000538825989, 0.5790000557899475]",0.614833414554596,0.6180000305175781,0.3298,0.5941190476190477,0.6846666666666666,0.5035714285714286,"[0.797, 0.111, 0.179, 0.356, 0.564, 0.78, 0.496, 0.743, 0.563, 0.869]",average@0.80@label,average,0.8,label,0.002280829140169876,0.018681615886605666,0.0293339183059971,0.4202170763924212,0.4938976650517947,0.03558889522301144,0.7158304344531484,0.7378629049692454,0.842209979952245,0.7161915912186876,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.9
5ae07fc0,84e76a03,0_3_5_7_8_9,0_2_3_5_6_7_8_9,"[0.5610000491142273, 0.0, 0.0, 0.34800001978874207, 0.0, 0.609000027179718, 0.0, 0.6570000052452087, 0.7850000262260437, 0.7290000319480896]","[0.6270000338554382, 0.0, 0.37400001287460327, 0.11600000411272049, 0.0, 0.4780000150203705, 0.6680000424385071, 0.35500001907348633, 0.5670000314712524, 0.5170000195503235]",0.614833414554596,0.46275004744529724,0.3385,0.33597916666666666,0.2833333333333333,0.388625,"[0.204, null, 0.79, 0.053, null, 0.011, 0.619, 0.079, 0.637, 0.716]",average@0.80@label,average,0.8,label,0.007003017879014955,0.019188251327023998,0.034189037642944786,0.40212922159668585,0.5097737407517826,0.027716730802547745,0.7164864557911207,0.7440749146566259,0.9542317915901682,0.7174917184526146,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.1
5ae07fc0,8b82f57e,0_3_5_7_8_9,3_4_5_6_7,"[0.5610000491142273, 0.0, 0.0, 0.34800001978874207, 0.0, 0.609000027179718, 0.0, 0.6570000052452087, 0.7850000262260437, 0.7290000319480896]","[0.0, 0.0, 0.0, 0.3570000231266022, 0.5180000066757202, 0.6070000529289246, 0.7150000333786011, 0.6330000162124634, 0.0, 0.0]",0.614833414554596,0.5659999847412109,0.333625,0.5219,0.535,0.5088,"[0.208, null, null, 0.757, 0.374, 0.226, 0.645, 0.542, 0.646, 0.831]",average@0.80@label,average,0.8,label,0.0010444869115582142,0.01538815684973968,0.021334776975974593,0.3974812244833208,0.5303477588737222,0.03440359590568472,0.7147789625640867,0.744258221676084,0.9033025514665276,0.7164426677142641,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.2
