parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,time_s
366f9057,be2e50e9,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5723333358764648,0.5016667246818542,0.3898,0.4701666666666666,0.437,0.5033333333333333,"[null, null, null, 0.249, null, 0.445, 0.912, 0.349, null, 0.617]",match_tensors_permute,runs_exp2d/seed0/population,69.2
366f9057,cb3a86af,3_5_9,1_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5723333358764648,0.5966666340827942,0.30383333333333334,0.573,0.5803333333333334,0.5656666666666667,"[null, 0.48, null, 0.673, null, 0.434, 0.965, 0.252, null, 0.634]",match_tensors_permute,runs_exp2d/seed0/population,69.7
366f9057,d8bd0bc0,3_5_9,4_5_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5723333358764648,0.4826667010784149,0.395,0.5586666666666666,0.646,0.4713333333333333,"[null, null, null, 0.706, 0.669, 0.617, null, 0.128, null, 0.615]",match_tensors_permute,runs_exp2d/seed0/population,69.3
366f9057,e1762771,3_5_9,1_2_4,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5723333358764648,0.5213333964347839,0.2921666666666667,0.5406666666666666,0.5766666666666667,0.5046666666666667,"[null, 0.487, 0.11, 0.669, 0.917, 0.437, null, null, null, 0.624]",match_tensors_permute,runs_exp2d/seed0/population,69.6
5ffed8da,88ed44d1,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.7800000309944153,0.42500004172325134,0.4518,0.6063333333333333,0.7896666666666666,0.423,"[null, null, null, 0.174, null, null, 0.963, 0.132, 0.739, 0.667]",match_tensors_permute,runs_exp2d/seed0/population,69.1
5ffed8da,905afff7,6_8_9,3_5_6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.7800000309944153,0.36399999260902405,0.4478,0.5818333333333333,0.7966666666666666,0.367,"[null, null, null, 0.107, null, 0.015, 0.979, null, 0.741, 0.67]",match_tensors_permute,runs_exp2d/seed0/population,69.2
5ffed8da,be2e50e9,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.7800000309944153,0.5016667246818542,0.4518,0.6403333333333334,0.771,0.5096666666666667,"[null, null, null, 0.252, null, null, 0.91, 0.367, 0.738, 0.665]",match_tensors_permute,runs_exp2d/seed0/population,69.3
5ffed8da,cb3a86af,6_8_9,1_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.7800000309944153,0.5966666340827942,0.4526,0.6890000000000001,0.791,0.587,"[null, 0.516, null, null, null, null, 0.964, 0.281, 0.739, 0.67]",match_tensors_permute,runs_exp2d/seed0/population,69.2
5ffed8da,d8bd0bc0,6_8_9,4_5_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.7800000309944153,0.4826667010784149,0.402,0.6241666666666666,0.7773333333333333,0.471,"[null, null, null, null, 0.673, 0.613, 0.922, 0.127, 0.727, 0.683]",match_tensors_permute,runs_exp2d/seed0/population,69.5
5ffed8da,e1762771,6_8_9,1_2_4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7800000309944153,0.5213333964347839,0.393,0.6491666666666667,0.7813333333333333,0.517,"[null, 0.516, 0.123, null, 0.912, null, 0.915, null, 0.741, 0.688]",match_tensors_permute,runs_exp2d/seed0/population,69.4
